iter	MultiClass
210	0.805991534
211	0.8050522625
212	0.8042923064
213	0.803516748
214	0.8027306174
215	0.8021119263
216	0.8011546959
217	0.800228566
218	0.799496332
219	0.7988775336
220	0.798252316
221	0.7975161286
222	0.7968723876
223	0.7963893372
224	0.7958107079
225	0.7952066069
226	0.7946146412
227	0.7939080163
228	0.7933996473
229	0.7929279912
230	0.7920025114
231	0.7910652944
232	0.790500413
233	0.7899248835
234	0.7892331273
235	0.7885544788
236	0.7878772956
237	0.7874385568
238	0.7870590262
239	0.7862417236
240	0.7853712755
241	0.7841073046
242	0.7832947267
243	0.7827308873
244	0.781665631
245	0.7809969639
246	0.7802529722
247	0.779309501
248	0.7784721753
249	0.777756037
250	0.7769244046
251	0.7763166584
252	0.7755389133
253	0.7751612104
254	0.774498363
255	0.7737228981
256	0.7728868342
257	0.772418702
258	0.7717463678
259	0.7711483893
260	0.7705099427
261	0.7700981964
262	0.769512852
263	0.7685460449
264	0.767967413
265	0.7675224762
266	0.7668640096
267	0.766079711
268	0.7655208684
269	0.7647539034
270	0.7638331036
271	0.7631897189
272	0.7627812578
273	0.7619340527
274	0.7608951811
275	0.7600873911
276	0.7591676767
277	0.7584479915
278	0.7580042557
279	0.7574261589
280	0.7567814241
281	0.7564662925
282	0.7558859572
283	0.7551848036
284	0.7544084164
285	0.7539967031
286	0.753314547
287	0.7526480982
288	0.752064012
289	0.751360026
290	0.750515689
291	0.7499380531
292	0.7494324017
293	0.7486588522
294	0.7480660739
295	0.7475844825
296	0.7466713123
297	0.7458930823
298	0.745312951
299	0.7444157181
300	0.7438577966
301	0.7432792474
302	0.742514171
303	0.7416302246
304	0.7408968667
305	0.7402275117
306	0.7396215297
307	0.7390536693
308	0.738623915
309	0.7378248264
310	0.7374600349
311	0.7366808682
312	0.7358445977
313	0.7354370399
314	0.7348104948
315	0.7342491072
316	0.7337683496
317	0.7333463867
318	0.7326270292
319	0.7320054544
320	0.7316823275
321	0.7310747819
322	0.7305241195
323	0.729722878
324	0.7289707661
325	0.7280746009
326	0.7273308206
327	0.7270583731
328	0.7265510392
329	0.7260025785
330	0.7255583098
331	0.725093678
332	0.7247207108
333	0.7239361421
334	0.7234170185
335	0.7227447671
336	0.7224341622
337	0.7217870454
338	0.7212552492
339	0.7208554366
340	0.7201044114
341	0.719512634
342	0.7189481272
343	0.7183520027
344	0.7175984549
345	0.7168398509
346	0.7161315607
347	0.7156503891
348	0.7152097729
349	0.7146020291
350	0.7141912604
351	0.7139108621
352	0.7132290761
353	0.7124439415
354	0.7118697937
355	0.7114273054
356	0.7108318625
357	0.7101528343
358	0.7094854183
359	0.708909323
360	0.7085037635
361	0.7078837483
362	0.7072563859
363	0.7070198035
364	0.7064372011
365	0.7057539595
366	0.7052002711
367	0.7047724014
368	0.7043347294
369	0.7036000188
370	0.7031565748
371	0.7026158671
372	0.702327024
373	0.702029058
374	0.7014856982
375	0.7009095081
376	0.7003439909
377	0.6998955036
378	0.6993191987
379	0.6988338694
380	0.6981808355
381	0.6978099691
382	0.6971348049
383	0.696609796
384	0.6960714369
385	0.6955724135
386	0.6952979485
387	0.6944648261
388	0.6939285759
389	0.6935734516
390	0.6932085705
391	0.692673719
392	0.6922286335
393	0.6917328521
394	0.6911742307
395	0.6908599532
396	0.6900208594
397	0.6894785946
398	0.6892082339
399	0.6883487901
400	0.6879570932
401	0.6873346836
402	0.6869025305
403	0.6863960694
404	0.6861010888
405	0.6856314186
406	0.6851081018
407	0.6847360869
408	0.6843996336
409	0.6838459586
410	0.6834018041
411	0.682948302
412	0.6823553776
413	0.6820456398
414	0.6816992857
415	0.6811560581
416	0.6808302125
417	0.6803831142
418	0.6800350693
419	0.6796566254
420	0.6789665614
421	0.6785411242
422	0.6781046439
423	0.6776161233
424	0.6771309219
425	0.6765804989
426	0.6760284791
427	0.6754705286
428	0.674989866
429	0.6745360828
430	0.6741748616
431	0.6737228319
432	0.6732285538
433	0.6727466876
434	0.6723441522
435	0.6720198753
436	0.6716025446
437	0.671037897
438	0.6707799363
439	0.6703206085
440	0.6700153923
441	0.6695902712
442	0.6690769475
443	0.6686888616
444	0.6684640795
445	0.6678741187
446	0.6674517824
447	0.6670017135
448	0.6667596834
449	0.6664464902
450	0.6659170571
451	0.6656994802
452	0.6653183221
453	0.6649282428
454	0.664544018
455	0.6642531973
456	0.6639572121
457	0.6636036843
458	0.6633952961
459	0.6629934796
460	0.6625540374
461	0.6622253014
462	0.6616661901
463	0.6613283451
464	0.6609919034
465	0.6604988616
466	0.6602011691
467	0.6598297213
468	0.6595202103
469	0.6591860631
470	0.6589394657
471	0.658720355
472	0.6584627148
473	0.658084003
474	0.6575803886
475	0.6571291377
476	0.6565299629
477	0.6561964845
478	0.6559477223
479	0.6554905871
480	0.6550421718
481	0.6546830608
482	0.6542620313
483	0.6537679367
484	0.653343468
485	0.6529806887
486	0.6523547414
487	0.6520489297
488	0.651725468
489	0.6513549951
490	0.6508873942
491	0.6505365924
492	0.6501164435
493	0.6497646074
494	0.6495495679
495	0.6492950563
496	0.6489155534
497	0.6483830364
498	0.6480289652
499	0.647709865
500	0.6472904549
501	0.6469002122
502	0.6466016513
503	0.6462493408
504	0.64592437
505	0.6455895668
506	0.6451421324
507	0.6449746557
508	0.6447182217
509	0.6443786737
510	0.6439078255
511	0.6437426236
512	0.6434880156
513	0.6432338433
514	0.6430441607
515	0.6426844743
516	0.6423085323
517	0.6418885037
518	0.6414697026
519	0.641033948
520	0.6407112504
521	0.6402104371
522	0.6400425641
523	0.6396699722
524	0.6393648536
525	0.6389790789
526	0.6385736794
527	0.6382056982
528	0.637868754
529	0.6374917605
530	0.6371583526
531	0.6368404961
532	0.6365722782
533	0.6362265388
534	0.6357908902
535	0.6354437984
536	0.6352371257
537	0.6349589482
538	0.6346058745
539	0.6343974546
540	0.6341415836
541	0.6338754689
542	0.6335162529
543	0.6333559055
544	0.6330452712
545	0.6326187065
546	0.6323188494
547	0.6320732449
548	0.6317392554
549	0.6314903799
550	0.6312316169
551	0.6308709138
552	0.6306595707
553	0.6302886208
554	0.6298285651
555	0.6294639316
556	0.6292558923
557	0.6288758043
558	0.6286055198
559	0.6281380076
560	0.6278900681
561	0.6275648261
562	0.6273994744
563	0.6269126375
564	0.6266773538
565	0.6263152074
566	0.6260487603
567	0.6256736016
568	0.6254542969
569	0.6250818969
570	0.6248622623
571	0.6244677159
572	0.6240967536
573	0.6238200714
574	0.6234894787
575	0.6232256887
576	0.6230240096
577	0.6226168196
578	0.6221390545
579	0.6219612964
580	0.6215478827
581	0.6211945975
582	0.6210316422
583	0.6207196253
584	0.6204665224
585	0.6201161287
586	0.6198384468
587	0.6195647921
588	0.6191134642
589	0.6187008395
590	0.6183929983
591	0.6182947907
592	0.618125784
593	0.6178412909
594	0.6175061382
595	0.6171695415
596	0.6169861245
597	0.6168639828
598	0.6165072413
599	0.6161577805
600	0.615872949
601	0.615587194
602	0.6153915708
603	0.6151257051
604	0.6148463188
605	0.6145929288
606	0.6143432557
607	0.6140962164
608	0.613803105
609	0.6135922799
610	0.6132917805
611	0.6130723552
612	0.6128884469
613	0.6126081271
614	0.6123610059
615	0.6121908703
616	0.6118789966
617	0.6115593227
618	0.6113713986
619	0.6110387907
620	0.6108029396
621	0.6105054871
622	0.6103876961
623	0.6100780073
624	0.6097896337
625	0.6096025326
626	0.6093525764
627	0.6089781695
628	0.6088582319
629	0.6085569706
630	0.6082775402
631	0.6081497056
632	0.6078366267
633	0.6075002359
634	0.6071170836
635	0.6068599039
636	0.6065183125
637	0.6062876177
638	0.6060231692
639	0.6058656011
640	0.6056796074
641	0.6053869346
642	0.6050953519
643	0.604812702
644	0.6045956729
645	0.6044207801
646	0.6040013312
647	0.603789412
648	0.6035709124
649	0.6034400846
650	0.6032561246
651	0.6030773416
652	0.6029145562
653	0.6026421303
654	0.60229327
655	0.6020853965
656	0.6019401377
657	0.6017433452
658	0.6016473695
659	0.601366606
660	0.6013087514
661	0.6011901729
662	0.6010007581
663	0.6007766387
664	0.6004288874
665	0.6002150174
666	0.6000475948
667	0.5998737479
668	0.5997014258
669	0.5996010026
670	0.5992621996
671	0.5990152195
672	0.5987275345
673	0.5984864264
674	0.598262946
675	0.5980493169
676	0.5977941462
677	0.5975190431
678	0.5972134491
679	0.5970136042
680	0.5968428427
681	0.5966501025
682	0.5964550319
683	0.5963118383
684	0.5961097021
685	0.5959860458
686	0.5957363792
687	0.5955581727
688	0.5953760637
689	0.5952195449
690	0.5950707373
691	0.5948708078
692	0.5946658619
693	0.5944119237
694	0.5942613911
695	0.5939702656
696	0.5936818159
697	0.5935412411
698	0.5934113164
699	0.5931436692
700	0.5928085114
701	0.5925120458
702	0.592326407
703	0.5921461057
704	0.5918846356
705	0.591736946
706	0.5915670857
707	0.5913154273
708	0.5912016732
709	0.5910418882
710	0.5908824917
711	0.5906774383
712	0.5905076866
713	0.5902111192
714	0.590039651
715	0.5898163288
716	0.5896428297
717	0.5894408682
718	0.5892559478
719	0.5890132546
720	0.5887577101
721	0.5884877011
722	0.5883167492
723	0.5881058049
724	0.5879007463
725	0.5877522336
726	0.5875761817
727	0.5873492781
728	0.5871859665
729	0.5869322083
730	0.5867555235
731	0.5864831307
732	0.5862719988
733	0.5860766489
734	0.5858499174
735	0.5856597573
736	0.5854833293
737	0.5853476018
738	0.5851889796
739	0.5849757975
740	0.5848536251
741	0.5846560153
742	0.584416161
743	0.5842633459
744	0.5840494162
745	0.5837751727
746	0.5835804989
747	0.5834396185
748	0.5833410612
749	0.5831371673
750	0.5829180983
751	0.5827493168
752	0.5825072636
753	0.5823383256
754	0.5821423877
755	0.5821113556
756	0.5818308976
757	0.5816421461
758	0.5814844905
759	0.5813219112
760	0.5812656907
761	0.5811269648
762	0.5809053549
763	0.5806391621
764	0.5804630802
765	0.580270204
766	0.580147198
767	0.5800235291
768	0.5797489141
769	0.5794871137
770	0.5793604256
771	0.5791997427
772	0.5790474409
773	0.5788075566
774	0.578716269
775	0.5785853199
776	0.5784163472
777	0.5782563676
778	0.5780358609
779	0.5779144201
780	0.5777256079
781	0.5775387388
782	0.5773407054
783	0.5771916363
784	0.5770169427
785	0.5768168599
786	0.5765421313
787	0.5764364768
788	0.5762420816
789	0.5760859888
790	0.5760207996
791	0.5758783367
792	0.5756573461
793	0.5755269914
794	0.5754699177
795	0.5752769833
796	0.5750197716
797	0.5747705178
798	0.5746623745
799	0.5744412917
800	0.5743179578
801	0.5741621281
802	0.5740077374
803	0.5738672478
804	0.5737312189
805	0.5736578081
806	0.573440659
807	0.5733065691
808	0.5730869342
809	0.5728513856
810	0.5727378685
811	0.5725286074
812	0.5723765592
813	0.5721861279
814	0.5720639411
815	0.5718895894
816	0.5717388068
817	0.5715487404
818	0.571396488
819	0.5712454627
820	0.5710427194
821	0.5707408285
822	0.5705495898
823	0.5704725552
824	0.5703186001
825	0.570134233
826	0.5699486819
827	0.5697543322
828	0.5696461682
829	0.5694345894
830	0.5691958514
831	0.5688792339
832	0.5687570569
833	0.5685948473
834	0.5684042019
835	0.5683492267
836	0.5682309947
837	0.5679933601
838	0.5678120577
839	0.5677302371
840	0.5675557244
841	0.5674595069
842	0.5673050291
843	0.5672180562
844	0.5670896681
845	0.5669559941
846	0.5668404447
847	0.5665458399
848	0.5664678333
849	0.5663807393
850	0.5661956423
851	0.5659911358
852	0.5658517469
853	0.5656547058
854	0.5654965715
855	0.5654061167
856	0.5653061295
857	0.5651575225
858	0.5650302615
859	0.5648161525
860	0.5646345644
861	0.5645055684
862	0.5642153586
863	0.5640548608
864	0.5638863984
865	0.5637656534
866	0.5636388126
867	0.5633999182
868	0.563296431
869	0.5630853165
870	0.5629421484
871	0.5628302097
872	0.5626230657
873	0.562477196
874	0.5624572263
875	0.5623052762
876	0.562115848
877	0.5619627427
878	0.5618040585
879	0.5616471568
880	0.5614344748
881	0.5613003581
882	0.5611518882
883	0.5609431618
884	0.5607799217
885	0.5605841228
886	0.5603631224
887	0.5601986881
888	0.5601390477
889	0.5600011885
890	0.5598725556
891	0.5598337679
892	0.5596501188
893	0.5595613875
894	0.5593920793
895	0.5592770458
896	0.5591606666
897	0.5589773073
898	0.5588641854
899	0.5587754224
900	0.5587383958
901	0.5586426701
902	0.558479388
903	0.5583416672
904	0.5582481387
905	0.5580941365
906	0.5579025178
907	0.5577527551
908	0.5576103881
909	0.5575544982
910	0.5574398359
911	0.557333637
912	0.5571553705
913	0.5570889149
914	0.5569743806
915	0.5568951151
916	0.5567939671
917	0.5566117534
918	0.5564059871
919	0.5562585661
920	0.556148655
921	0.5559719978
922	0.5558604085
923	0.5557579067
924	0.5556631934
925	0.555585545
926	0.5554906442
927	0.5553636329
928	0.5552297475
929	0.5550613551
930	0.5548569775
931	0.5547775761
932	0.5546215761
933	0.5544199715
934	0.5542993014
935	0.5541942971
936	0.554059624
937	0.5539619259
938	0.5538475488
939	0.5537091155
940	0.5535935326
941	0.5534995221
942	0.5533884499
943	0.5532502782
944	0.5531572738
945	0.5530147489
946	0.5529258452
947	0.552816
948	0.5526119963
949	0.5524197155
950	0.5523265595
951	0.5522062081
952	0.5519553973
953	0.5519001861
954	0.5517783075
955	0.5516435589
956	0.5516044023
957	0.5514276942
958	0.5512337991
959	0.5511620568
960	0.5509774022
961	0.5508407467
962	0.5507671071
963	0.5506051192
964	0.5503927357
965	0.5502570588
966	0.5500958465
967	0.5499737212
968	0.549887355
969	0.5497567933
970	0.5496827578
971	0.5496331655
972	0.5494692032
973	0.5493773687
974	0.5492543947
975	0.5491528981
976	0.5490117439
977	0.5489455145
978	0.548757548
979	0.548638511
980	0.5484531184
981	0.5482501662
982	0.5481187364
983	0.5479696791
984	0.5477819374
985	0.5476018654
986	0.5474590035
987	0.5473458211
988	0.547244976
989	0.5470519652
990	0.5469637693
991	0.5469139371
992	0.5467797635
993	0.5466453699
994	0.5465518414
995	0.5464657501
996	0.5463830961
997	0.5462630556
998	0.5461456238
999	0.5459936151
